#TYPE System.Management.Automation.PSCustomObject
"FeatureName","GroupName","Total Licenses","Free Licenses"
"symphony_dt_sim","Li","1","1"
"symphony_dt_sim","ECE","2","2"
"symphony_dt_sim","Restricted","12","12"
"symphony_fd_sim","Volakis","15","15"
"symphony_fd_sim","Sertel","6","6"
"symphony_fd_sim","Chen","8","8"
"symphony_fd_sim","Reano","3","3"
"symphony_fd_sim","Gupta","2","2"
"symphony_fd_sim","Burkholder","1","1"
"symphony_fd_sim","Li","1","1"
"symphony_fd_sim","ECE","2","2"
"symphony_fd_sim","Restricted","12","12"
"symphony_gui","Volakis","15","15"
"symphony_gui","Sertel","6","6"
"symphony_gui","Chen","8","8"
"symphony_gui","Reano","3","3"
"symphony_gui","Gupta","2","2"
"symphony_gui","Burkholder","1","1"
"symphony_gui","Li","1","1"
"symphony_gui","ECE","2","2"
"symphony_gui","Restricted","12","12"
"symphony_sim","Volakis","15","15"
"symphony_sim","Sertel","6","6"
"symphony_sim","Chen","8","8"
"symphony_sim","Reano","3","3"
"symphony_sim","Gupta","2","2"
"symphony_sim","Burkholder","1","1"
"symphony_sim","Li","1","1"
"symphony_sim","ECE","2","2"
"symphony_sim","Restricted","12","12"
"xlate_catia4","Volakis","15","15"
"xlate_catia4","Sertel","6","6"
"xlate_catia4","Chen","8","8"
"xlate_catia4","Reano","3","3"
"xlate_catia4","Gupta","2","2"
"xlate_catia4","Burkholder","1","1"
"xlate_catia4","Li","1","1"
"xlate_catia4","ECE","2","2"
"xlate_catia4","Restricted","12","12"
"xlate_iges","Volakis","15","15"
"xlate_iges","Sertel","6","6"
"xlate_iges","Chen","8","8"
"xlate_iges","Reano","3","3"
"xlate_iges","Gupta","2","2"
"xlate_iges","Burkholder","1","1"
"xlate_iges","Li","1","1"
"xlate_iges","ECE","2","2"
"xlate_iges","Restricted","12","12"
"xlate_proe","Volakis","15","15"
"xlate_proe","Sertel","6","6"
"xlate_proe","Chen","8","8"
"xlate_proe","Reano","3","3"
"xlate_proe","Gupta","2","2"
"xlate_proe","Burkholder","1","1"
"xlate_proe","Li","1","1"
"xlate_proe","ECE","2","2"
"xlate_proe","Restricted","12","12"
"xlate_step","Volakis","15","15"
"xlate_step","Sertel","6","6"
"xlate_step","Chen","8","8"
"xlate_step","Reano","3","3"
"xlate_step","Gupta","2","2"
"xlate_step","Burkholder","1","1"
"xlate_step","Li","1","1"
"xlate_step","ECE","2","2"
"xlate_step","Restricted","12","12"
"ansoft_distrib_engine","Volakis","0","0"
"ansoft_distrib_engine","Sertel","0","0"
"ansoft_distrib_engine","Chen","0","0"
"ansoft_distrib_engine","Reano","0","0"
"ansoft_distrib_engine","Gupta","0","0"
"ansoft_distrib_engine","Burkholder","0","0"
"ansoft_distrib_engine","Li","0","0"
"ansoft_distrib_engine","ECE","0","0"
"ansoft_distrib_engine","Restricted","0","0"
"al4cadvance","Volakis","15","15"
"al4cadvance","Sertel","6","6"
"al4cadvance","Chen","8","8"
"al4cadvance","Reano","3","3"
"al4cadvance","Gupta","2","2"
"al4cadvance","Burkholder","1","1"
"al4cadvance","Li","1","1"
"al4cadvance","ECE","2","2"
"al4cadvance","Restricted","12","12"
"al4cds","Volakis","15","15"
"al4cds","Sertel","6","6"
"al4cds","Chen","8","8"
"al4cds","Reano","3","3"
"al4cds","Gupta","2","2"
"al4cds","Burkholder","1","1"
"al4cds","Li","1","1"
"al4cds","ECE","2","2"
"al4cds","Restricted","12","12"
"al4gem","Volakis","15","15"
"al4gem","Sertel","6","6"
"al4gem","Chen","8","8"
"al4gem","Reano","3","3"
"al4gem","Gupta","2","2"
"al4gem","Burkholder","1","1"
"al4gem","Li","1","1"
"al4gem","ECE","2","2"
"al4gem","Restricted","12","12"
"al4first","Volakis","15","15"
"al4first","Sertel","6","6"
"al4first","Chen","8","8"
"al4first","Reano","3","3"
"al4first","Gupta","2","2"
"al4first","Burkholder","1","1"
"al4first","Li","1","1"
"al4first","ECE","2","2"
"al4first","Restricted","12","12"
"nexxim_icda","Volakis","15","15"
"nexxim_icda","Sertel","6","6"
"nexxim_icda","Chen","8","8"
"nexxim_icda","Reano","3","3"
"nexxim_icda","Gupta","2","2"
"nexxim_icda","Burkholder","1","1"
"nexxim_icda","Li","1","1"
"nexxim_icda","ECE","2","2"
"nexxim_icda","Restricted","12","12"
"xlate_catia5","Volakis","15","15"
"xlate_catia5","Sertel","6","6"
"xlate_catia5","Chen","8","8"
"xlate_catia5","Reano","3","3"
"xlate_catia5","Gupta","2","2"
"xlate_catia5","Burkholder","1","1"
"xlate_catia5","Li","1","1"
"xlate_catia5","ECE","2","2"
"xlate_catia5","Restricted","12","12"
"xlate_parasolid","Volakis","15","15"
"xlate_parasolid","Sertel","6","6"
"xlate_parasolid","Chen","8","8"
"xlate_parasolid","Reano","3","3"
"xlate_parasolid","Gupta","2","2"
"xlate_parasolid","Burkholder","1","1"
"xlate_parasolid","Li","1","1"
"xlate_parasolid","ECE","2","2"
"xlate_parasolid","Restricted","12","12"
"xlate_unigraphics","Volakis","15","15"
"xlate_unigraphics","Sertel","6","6"
"xlate_unigraphics","Chen","8","8"
"xlate_unigraphics","Reano","3","3"
"xlate_unigraphics","Gupta","2","2"
"xlate_unigraphics","Burkholder","1","1"
"xlate_unigraphics","Li","1","1"
"xlate_unigraphics","ECE","2","2"
"xlate_unigraphics","Restricted","12","12"
"hfsshpc","Volakis","12","12"
"hfsshpc","Sertel","24","21"
"hfsshpc","Chen","32","32"
"hfsshpc","Reano","12","12"
"hfsshpc","Gupta","8","8"
"hfsshpc","Burkholder","4","4"
"hfsshpc","Li","4","4"
"hfsshpc","ECE","8","8"
"hfsshpc","Restricted","48","48"
"hfssie_solve","Volakis","15","15"
"hfssie_solve","Sertel","6","6"
"hfssie_solve","Chen","8","8"
"hfssie_solve","Reano","3","3"
"hfssie_solve","Gupta","2","2"
"hfssie_solve","Burkholder","1","1"
"hfssie_solve","Li","1","1"
"hfssie_solve","ECE","2","2"
"hfssie_solve","Restricted","12","12"
"hfssie_gui","Volakis","15","15"
"hfssie_gui","Sertel","6","6"
"hfssie_gui","Chen","8","8"
"hfssie_gui","Reano","3","3"
"hfssie_gui","Gupta","2","2"
"hfssie_gui","Burkholder","1","1"
"hfssie_gui","Li","1","1"
"hfssie_gui","ECE","2","2"
"hfssie_gui","Restricted","12","12"
"al4odb++","Volakis","15","15"
"al4odb++","Sertel","6","6"
"al4odb++","Chen","8","8"
"al4odb++","Reano","3","3"
"al4odb++","Gupta","2","2"
"al4odb++","Burkholder","1","1"
"al4odb++","Li","1","1"
"al4odb++","ECE","2","2"
"al4odb++","Restricted","12","12"
"hfss_transient_solve","Volakis","15","15"
"hfss_transient_solve","Sertel","6","6"
"hfss_transient_solve","Chen","8","8"
"hfss_transient_solve","Reano","3","3"
"hfss_transient_solve","Gupta","2","2"
"hfss_transient_solve","Burkholder","1","1"
"hfss_transient_solve","Li","1","1"
"hfss_transient_solve","ECE","2","2"
"hfss_transient_solve","Restricted","12","12"
"xlate_inventor","Volakis","15","15"
"xlate_inventor","Sertel","6","6"
"xlate_inventor","Chen","8","8"
"xlate_inventor","Reano","3","3"
"xlate_inventor","Gupta","2","2"
"xlate_inventor","Burkholder","1","1"
"xlate_inventor","Li","1","1"
"xlate_inventor","ECE","2","2"
"xlate_inventor","Restricted","12","12"
"xlate_solidworks","Volakis","15","15"
"xlate_solidworks","Sertel","6","6"
"xlate_solidworks","Chen","8","8"
"xlate_solidworks","Reano","3","3"
"xlate_solidworks","Gupta","2","2"
"xlate_solidworks","Burkholder","1","1"
"xlate_solidworks","Li","1","1"
"xlate_solidworks","ECE","2","2"
"xlate_solidworks","Restricted","12","12"
"siwave_level1","Volakis","0","0"
"siwave_level1","Sertel","0","0"
"siwave_level1","Chen","0","0"
"siwave_level1","Reano","0","0"
"siwave_level1","Gupta","0","0"
"siwave_level1","Burkholder","0","0"
"siwave_level1","Li","0","0"
"siwave_level1","ECE","0","0"
"siwave_level1","Restricted","0","0"
"siwave_level2","Volakis","0","0"
"siwave_level2","Sertel","0","0"
"siwave_level2","Chen","0","0"
"siwave_level2","Reano","0","0"
"siwave_level2","Gupta","0","0"
"siwave_level2","Burkholder","0","0"
"siwave_level2","Li","0","0"
"siwave_level2","ECE","0","0"
"siwave_level2","Restricted","0","0"
"siwave_level3","Volakis","0","0"
"siwave_level3","Sertel","0","0"
"siwave_level3","Chen","0","0"
"siwave_level3","Reano","0","0"
"siwave_level3","Gupta","0","0"
"siwave_level3","Burkholder","0","0"
"siwave_level3","Li","0","0"
"siwave_level3","ECE","0","0"
"siwave_level3","Restricted","0","0"
